,POA_CODE_2021,SA3_CODE_2021,SA3_NAME_2021,GCCSA_NAME_2021,METRO_AREA
413,3091,20903,Nillumbik - Kinglake,Greater Melbourne,Greater Melbourne
414,3093,20901,Banyule,Greater Melbourne,Greater Melbourne
415,3094,20901,Banyule,Greater Melbourne,Greater Melbourne
416,3095,20901,Banyule,Greater Melbourne,Greater Melbourne
417,3096,20903,Nillumbik - Kinglake,Greater Melbourne,Greater Melbourne
418,3097,20903,Nillumbik - Kinglake,Greater Melbourne,Greater Melbourne
419,3099,20903,Nillumbik - Kinglake,Greater Melbourne,Greater Melbourne
420,3101,20701,Boroondara,Greater Melbourne,Greater Melbourne
421,3102,20701,Boroondara,Greater Melbourne,Greater Melbourne
422,3103,20701,Boroondara,Greater Melbourne,Greater Melbourne
423,3104,20701,Boroondara,Greater Melbourne,Greater Melbourne
424,3105,20702,Manningham - West,Greater Melbourne,Greater Melbourne
425,3106,20702,Manningham - West,Greater Melbourne,Greater Melbourne
426,3107,20702,Manningham - West,Greater Melbourne,Greater Melbourne
427,3108,20702,Manningham - West,Greater Melbourne,Greater Melbourne
428,3109,20702,Manningham - West,Greater Melbourne,Greater Melbourne
429,3111,20702,Manningham - West,Greater Melbourne,Greater Melbourne
430,3113,20903,Nillumbik - Kinglake,Greater Melbourne,Greater Melbourne
431,3114,21102,Manningham - East,Greater Melbourne,Greater Melbourne
432,3115,21102,Manningham - East,Greater Melbourne,Greater Melbourne
433,3116,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
434,3121,20607,Yarra,Greater Melbourne,Greater Melbourne
435,3122,20701,Boroondara,Greater Melbourne,Greater Melbourne
436,3123,20701,Boroondara,Greater Melbourne,Greater Melbourne
437,3124,20701,Boroondara,Greater Melbourne,Greater Melbourne
438,3125,20703,Whitehorse - West,Greater Melbourne,Greater Melbourne
439,3126,20701,Boroondara,Greater Melbourne,Greater Melbourne
440,3127,20701,Boroondara,Greater Melbourne,Greater Melbourne
441,3128,20703,Whitehorse - West,Greater Melbourne,Greater Melbourne
442,3129,20702,Manningham - West,Greater Melbourne,Greater Melbourne
443,3130,20703,Whitehorse - West,Greater Melbourne,Greater Melbourne
444,3131,21104,Whitehorse - East,Greater Melbourne,Greater Melbourne
445,3132,21104,Whitehorse - East,Greater Melbourne,Greater Melbourne
446,3133,21104,Whitehorse - East,Greater Melbourne,Greater Melbourne
447,3134,21102,Manningham - East,Greater Melbourne,Greater Melbourne
448,3135,21103,Maroondah,Greater Melbourne,Greater Melbourne
449,3136,21103,Maroondah,Greater Melbourne,Greater Melbourne
450,3137,21103,Maroondah,Greater Melbourne,Greater Melbourne
451,3138,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
452,3139,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
453,3140,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
454,3141,20604,Melbourne City,Greater Melbourne,Greater Melbourne
455,3142,20606,Stonnington - West,Greater Melbourne,Greater Melbourne
456,3143,20606,Stonnington - West,Greater Melbourne,Greater Melbourne
457,3144,20606,Stonnington - West,Greater Melbourne,Greater Melbourne
458,3145,20802,Glen Eira,Greater Melbourne,Greater Melbourne
459,3146,20701,Boroondara,Greater Melbourne,Greater Melbourne
460,3147,20701,Boroondara,Greater Melbourne,Greater Melbourne
461,3148,21205,Monash,Greater Melbourne,Greater Melbourne
462,3149,21205,Monash,Greater Melbourne,Greater Melbourne
463,3150,21205,Monash,Greater Melbourne,Greater Melbourne
464,3151,20703,Whitehorse - West,Greater Melbourne,Greater Melbourne
465,3152,21101,Knox,Greater Melbourne,Greater Melbourne
466,3153,21101,Knox,Greater Melbourne,Greater Melbourne
467,3154,21101,Knox,Greater Melbourne,Greater Melbourne
468,3155,21101,Knox,Greater Melbourne,Greater Melbourne
469,3156,21101,Knox,Greater Melbourne,Greater Melbourne
470,3158,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
471,3159,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
472,3160,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
473,3161,20802,Glen Eira,Greater Melbourne,Greater Melbourne
474,3162,20802,Glen Eira,Greater Melbourne,Greater Melbourne
475,3163,20802,Glen Eira,Greater Melbourne,Greater Melbourne
476,3165,20802,Glen Eira,Greater Melbourne,Greater Melbourne
477,3166,20802,Glen Eira,Greater Melbourne,Greater Melbourne
478,3167,21204,Dandenong,Greater Melbourne,Greater Melbourne
479,3168,21205,Monash,Greater Melbourne,Greater Melbourne
480,3169,21204,Dandenong,Greater Melbourne,Greater Melbourne
481,3170,21205,Monash,Greater Melbourne,Greater Melbourne
482,3171,21204,Dandenong,Greater Melbourne,Greater Melbourne
483,3172,20803,Kingston,Greater Melbourne,Greater Melbourne
484,3173,21204,Dandenong,Greater Melbourne,Greater Melbourne
485,3174,21204,Dandenong,Greater Melbourne,Greater Melbourne
486,3175,21204,Dandenong,Greater Melbourne,Greater Melbourne
487,3177,21202,Casey - North,Greater Melbourne,Greater Melbourne
488,3178,21101,Knox,Greater Melbourne,Greater Melbourne
489,3179,21101,Knox,Greater Melbourne,Greater Melbourne
490,3180,21101,Knox,Greater Melbourne,Greater Melbourne
491,3181,20605,Port Phillip,Greater Melbourne,Greater Melbourne
492,3182,20605,Port Phillip,Greater Melbourne,Greater Melbourne
493,3183,20605,Port Phillip,Greater Melbourne,Greater Melbourne
494,3184,20605,Port Phillip,Greater Melbourne,Greater Melbourne
495,3185,20605,Port Phillip,Greater Melbourne,Greater Melbourne
496,3186,20801,Bayside,Greater Melbourne,Greater Melbourne
497,3187,20801,Bayside,Greater Melbourne,Greater Melbourne
498,3188,20801,Bayside,Greater Melbourne,Greater Melbourne
499,3189,20803,Kingston,Greater Melbourne,Greater Melbourne
500,3190,20801,Bayside,Greater Melbourne,Greater Melbourne
501,3191,20801,Bayside,Greater Melbourne,Greater Melbourne
502,3192,20801,Bayside,Greater Melbourne,Greater Melbourne
503,3193,20801,Bayside,Greater Melbourne,Greater Melbourne
504,3194,20803,Kingston,Greater Melbourne,Greater Melbourne
505,3195,20803,Kingston,Greater Melbourne,Greater Melbourne
506,3196,20803,Kingston,Greater Melbourne,Greater Melbourne
507,3197,20803,Kingston,Greater Melbourne,Greater Melbourne
508,3198,21401,Frankston,Greater Melbourne,Greater Melbourne
509,3199,21401,Frankston,Greater Melbourne,Greater Melbourne
510,3200,21401,Frankston,Greater Melbourne,Greater Melbourne
511,3201,21401,Frankston,Greater Melbourne,Greater Melbourne
512,3202,20803,Kingston,Greater Melbourne,Greater Melbourne
513,3204,20802,Glen Eira,Greater Melbourne,Greater Melbourne
514,3205,20605,Port Phillip,Greater Melbourne,Greater Melbourne
515,3206,20605,Port Phillip,Greater Melbourne,Greater Melbourne
516,3207,20605,Port Phillip,Greater Melbourne,Greater Melbourne
517,3211,21305,Wyndham,Greater Melbourne,Greater Melbourne
518,3335,21304,Melton - Bacchus Marsh,Greater Melbourne,Greater Melbourne
519,3336,21304,Melton - Bacchus Marsh,Greater Melbourne,Greater Melbourne
520,3337,21304,Melton - Bacchus Marsh,Greater Melbourne,Greater Melbourne
521,3338,21304,Melton - Bacchus Marsh,Greater Melbourne,Greater Melbourne
522,3340,21304,Melton - Bacchus Marsh,Greater Melbourne,Greater Melbourne
523,3341,21304,Melton - Bacchus Marsh,Greater Melbourne,Greater Melbourne
524,3427,21004,Sunbury,Greater Melbourne,Greater Melbourne
525,3428,21005,Tullamarine - Broadmeadows,Greater Melbourne,Greater Melbourne
526,3429,21004,Sunbury,Greater Melbourne,Greater Melbourne
527,3430,21002,Macedon Ranges,Greater Melbourne,Greater Melbourne
528,3431,21002,Macedon Ranges,Greater Melbourne,Greater Melbourne
529,3432,21002,Macedon Ranges,Greater Melbourne,Greater Melbourne
530,3433,21002,Macedon Ranges,Greater Melbourne,Greater Melbourne
531,3434,21002,Macedon Ranges,Greater Melbourne,Greater Melbourne
532,3435,21002,Macedon Ranges,Greater Melbourne,Greater Melbourne
533,3437,21002,Macedon Ranges,Greater Melbourne,Greater Melbourne
534,3438,21002,Macedon Ranges,Greater Melbourne,Greater Melbourne
535,3440,21002,Macedon Ranges,Greater Melbourne,Greater Melbourne
536,3441,21002,Macedon Ranges,Greater Melbourne,Greater Melbourne
537,3442,21002,Macedon Ranges,Greater Melbourne,Greater Melbourne
538,3658,20904,Whittlesea - Wallan,Greater Melbourne,Greater Melbourne
539,3699,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
540,3701,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
541,3707,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
542,3723,20505,Wellington,Rest of Vic.,Latrobe - Gippsland
543,3750,20904,Whittlesea - Wallan,Greater Melbourne,Greater Melbourne
544,3751,20904,Whittlesea - Wallan,Greater Melbourne,Greater Melbourne
545,3752,20904,Whittlesea - Wallan,Greater Melbourne,Greater Melbourne
546,3753,20904,Whittlesea - Wallan,Greater Melbourne,Greater Melbourne
547,3754,20903,Nillumbik - Kinglake,Greater Melbourne,Greater Melbourne
548,3755,20904,Whittlesea - Wallan,Greater Melbourne,Greater Melbourne
549,3756,20904,Whittlesea - Wallan,Greater Melbourne,Greater Melbourne
550,3757,20903,Nillumbik - Kinglake,Greater Melbourne,Greater Melbourne
551,3758,20904,Whittlesea - Wallan,Greater Melbourne,Greater Melbourne
552,3759,20903,Nillumbik - Kinglake,Greater Melbourne,Greater Melbourne
553,3760,20903,Nillumbik - Kinglake,Greater Melbourne,Greater Melbourne
554,3761,20903,Nillumbik - Kinglake,Greater Melbourne,Greater Melbourne
555,3762,20904,Whittlesea - Wallan,Greater Melbourne,Greater Melbourne
556,3763,20903,Nillumbik - Kinglake,Greater Melbourne,Greater Melbourne
557,3765,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
558,3766,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
559,3767,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
560,3770,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
561,3775,20903,Nillumbik - Kinglake,Greater Melbourne,Greater Melbourne
562,3777,20903,Nillumbik - Kinglake,Greater Melbourne,Greater Melbourne
563,3778,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
564,3781,21201,Cardinia,Greater Melbourne,Greater Melbourne
565,3782,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
566,3783,21201,Cardinia,Greater Melbourne,Greater Melbourne
567,3785,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
568,3786,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
569,3787,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
570,3788,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
571,3789,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
572,3791,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
573,3792,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
574,3793,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
575,3795,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
576,3796,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
577,3797,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
578,3799,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
579,3802,21202,Casey - North,Greater Melbourne,Greater Melbourne
580,3803,21202,Casey - North,Greater Melbourne,Greater Melbourne
581,3804,21105,Yarra Ranges,Greater Melbourne,Greater Melbourne
582,3805,21202,Casey - North,Greater Melbourne,Greater Melbourne
583,3806,21202,Casey - North,Greater Melbourne,Greater Melbourne
584,3807,21201,Cardinia,Greater Melbourne,Greater Melbourne
585,3808,21201,Cardinia,Greater Melbourne,Greater Melbourne
586,3809,21201,Cardinia,Greater Melbourne,Greater Melbourne
587,3810,21201,Cardinia,Greater Melbourne,Greater Melbourne
588,3812,21201,Cardinia,Greater Melbourne,Greater Melbourne
589,3813,21201,Cardinia,Greater Melbourne,Greater Melbourne
590,3814,21201,Cardinia,Greater Melbourne,Greater Melbourne
591,3815,21201,Cardinia,Greater Melbourne,Greater Melbourne
592,3816,20501,Baw Baw,Rest of Vic.,Latrobe - Gippsland
593,3818,20501,Baw Baw,Rest of Vic.,Latrobe - Gippsland
594,3820,20501,Baw Baw,Rest of Vic.,Latrobe - Gippsland
595,3821,20501,Baw Baw,Rest of Vic.,Latrobe - Gippsland
596,3822,20501,Baw Baw,Rest of Vic.,Latrobe - Gippsland
597,3823,20501,Baw Baw,Rest of Vic.,Latrobe - Gippsland
598,3824,20501,Baw Baw,Rest of Vic.,Latrobe - Gippsland
599,3825,20501,Baw Baw,Rest of Vic.,Latrobe - Gippsland
600,3831,20501,Baw Baw,Rest of Vic.,Latrobe - Gippsland
601,3832,20501,Baw Baw,Rest of Vic.,Latrobe - Gippsland
602,3833,20501,Baw Baw,Rest of Vic.,Latrobe - Gippsland
603,3835,20501,Baw Baw,Rest of Vic.,Latrobe - Gippsland
604,3840,20504,Latrobe Valley,Rest of Vic.,Latrobe - Gippsland
605,3842,20504,Latrobe Valley,Rest of Vic.,Latrobe - Gippsland
606,3844,20504,Latrobe Valley,Rest of Vic.,Latrobe - Gippsland
607,3847,20505,Wellington,Rest of Vic.,Latrobe - Gippsland
608,3850,20505,Wellington,Rest of Vic.,Latrobe - Gippsland
609,3851,20505,Wellington,Rest of Vic.,Latrobe - Gippsland
610,3852,20505,Wellington,Rest of Vic.,Latrobe - Gippsland
611,3854,20504,Latrobe Valley,Rest of Vic.,Latrobe - Gippsland
612,3856,20504,Latrobe Valley,Rest of Vic.,Latrobe - Gippsland
613,3857,20504,Latrobe Valley,Rest of Vic.,Latrobe - Gippsland
614,3858,20505,Wellington,Rest of Vic.,Latrobe - Gippsland
615,3859,20505,Wellington,Rest of Vic.,Latrobe - Gippsland
616,3860,20505,Wellington,Rest of Vic.,Latrobe - Gippsland
617,3862,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
618,3864,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
619,3865,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
620,3869,20504,Latrobe Valley,Rest of Vic.,Latrobe - Gippsland
621,3870,20504,Latrobe Valley,Rest of Vic.,Latrobe - Gippsland
622,3871,20501,Baw Baw,Rest of Vic.,Latrobe - Gippsland
623,3873,20505,Wellington,Rest of Vic.,Latrobe - Gippsland
624,3874,20505,Wellington,Rest of Vic.,Latrobe - Gippsland
625,3875,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
626,3878,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
627,3880,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
628,3882,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
629,3885,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
630,3886,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
631,3887,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
632,3888,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
633,3889,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
634,3890,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
635,3891,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
636,3892,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
637,3893,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
638,3895,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
639,3896,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
640,3898,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
641,3900,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
642,3902,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
643,3903,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
644,3904,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
645,3909,20502,Gippsland - East,Rest of Vic.,Latrobe - Gippsland
646,3910,21401,Frankston,Greater Melbourne,Greater Melbourne
647,3911,21401,Frankston,Greater Melbourne,Greater Melbourne
648,3912,21203,Casey - South,Greater Melbourne,Greater Melbourne
649,3913,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
650,3915,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
651,3916,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
652,3918,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
653,3919,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
654,3920,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
655,3921,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
656,3922,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
657,3923,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
658,3925,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
659,3926,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
660,3927,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
661,3928,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
662,3929,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
663,3930,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
664,3931,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
665,3933,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
666,3934,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
667,3936,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
668,3937,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
669,3938,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
670,3939,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
671,3940,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
672,3941,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
673,3942,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
674,3943,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
675,3944,21402,Mornington Peninsula,Greater Melbourne,Greater Melbourne
676,3945,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
677,3946,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
678,3950,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
679,3951,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
680,3953,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
681,3954,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
682,3956,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
683,3957,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
684,3958,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
685,3959,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
686,3960,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
687,3962,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
688,3964,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
689,3965,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
690,3966,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
691,3967,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
692,3971,20504,Latrobe Valley,Rest of Vic.,Latrobe - Gippsland
693,3975,21203,Casey - South,Greater Melbourne,Greater Melbourne
694,3976,21203,Casey - South,Greater Melbourne,Greater Melbourne
695,3977,21203,Casey - South,Greater Melbourne,Greater Melbourne
696,3978,21201,Cardinia,Greater Melbourne,Greater Melbourne
697,3979,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
698,3980,21201,Cardinia,Greater Melbourne,Greater Melbourne
699,3981,20501,Baw Baw,Rest of Vic.,Latrobe - Gippsland
700,3984,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
701,3987,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
702,3988,20501,Baw Baw,Rest of Vic.,Latrobe - Gippsland
703,3990,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
704,3991,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
705,3992,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
706,3995,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
707,3996,20503,Gippsland - South West,Rest of Vic.,Latrobe - Gippsland
708,4000,30501,Brisbane Inner,Greater Brisbane,Greater Brisbane
709,4005,30501,Brisbane Inner,Greater Brisbane,Greater Brisbane
710,4006,30501,Brisbane Inner,Greater Brisbane,Greater Brisbane
711,4007,30203,Nundah,Greater Brisbane,Greater Brisbane
712,4008,30203,Nundah,Greater Brisbane,Greater Brisbane
713,4009,30203,Nundah,Greater Brisbane,Greater Brisbane
714,4010,30503,Brisbane Inner - North,Greater Brisbane,Greater Brisbane
